Ranking,Title,Prison Population Total
1,United States of America,2 068 800
2,China,1 690 000
3,Brazil,835 643
4,India,554 034
5,Russian Federation,468 237
6,Turkey,314 502
7,Thailand,285 572
8,Indonesia,276 288
9,Mexico,228 254
10,Iran,189 000
11,Philippines,166 912
12,South Africa,144 938
13,Vietnam,125 697
14,Egypt,119 000
15,Ethiopia,110 000
16,Argentina,106 559
17,Myanmar (formerly Burma),100 324
18,Colombia,97 369
19,Algeria,94 749
20,Peru,89 464
21,Morocco,88 941
22,Pakistan,85 670
23,Bangladesh,83 837
24,United Kingdom: England & Wales,81 274
25,Rwanda,76 099
26,Iraq,73 715
27,Poland,72 542
28,France,72 067
29,Nigeria,70 797
30,Malaysia,69 507
31,Uganda,68 981
32,Saudi Arabia,c. 68 056
33,Venezuela,67 200
34,Cuba,57 337
35,Germany,56 069
36,Italy,55 637
37,Taiwan,55 425
38,Spain,55 097
39,Republic of (South) Korea,53 920
40,Kenya,52 979
41,Ukraine,48 038
42,Japan,45 714
43,Chile,43 168
44,Australia,42 403
45,El Salvador,39 538
46,Cambodia,39 000
47,Canada,38 570
48,Kazakhstan,35 228
49,Turkmenistan,35 000
50,Tanzania,33 570
51,Belarus,32 556
52,Ecuador,32 466
53,Cameroon,32 003
54,Afghanistan,28 240
55,Madagascar,27 611
56,Dominican Republic,26 794
57,Nepal,25 400
58,Guatemala,24 742
59,Angola,24 336
60,Tunisia,23 484
61,Romania,23 361
62,Zambia,23 062
63,Cote d'Ivoire,23 000
64,Uzbekistan,22 867
65,Democratic Republic of Congo,22 820
66,Sri Lanka,22 000
67,Azerbaijan,21 813
68,Sudan,21 000
69,Nicaragua,20 918
70,Panama,20 901
71,Zimbabwe,20 898
72,Bolivia,20 864
73,Honduras,20 768
74,Czech Republic,19 188
75,Hungary,18 800
76,Mozambique,18 700
77,Jordan,17 708
78,Paraguay,16 216
79,Costa Rica,15 516
80,Israel,14 961
81,Malawi,14 500
82,Ghana,14 444
83,Uruguay,14 347
84,Tajikistan,14 000
85,Benin,13 009
86,Senegal,12 430
87,Burundi,12 360
88,Libya,12 300
89,Portugal,12 227
90,Laos,11 885
91,Netherlands,11 623
92,Haiti,11 253
93,Greece,11 131
94,Syria,10 599
95,Serbia,10 436
96,Belgium,10 379
97,Singapore,10 262
98,Kyrgyzstan,10 142
99,Slovakia,10 000
100,United Arab Emirates,9 826
101,Yemen,9 719
102,Georgia,9 605
103,Niger,9 187
104,Namibia,8 900
105,Puerto Rico (USA),8 884
106,Chad,8 700
107,Mali,8 670
108,Austria,8 456
109,Hong Kong (China),7 867
110,New Zealand,7 669
111,United Kingdom: Scotland,7 408
112,Lebanon,7 401
112,Burkina Faso,7 401
114,Sweden,7 317
115,South Sudan,7 000
116,Moldova (Republic of),6 396
117,Switzerland,6 310
118,Bulgaria,6 080
119,Mongolia,5 832
120,Gabon,5 226
121,Lithuania,5 089
122,Papua New Guinea,5 087
123,Albania,4 994
124,Togo,4 990
125,Sierra Leone,4 430
126,Kuwait,4 420
127,Guinea (Republic of),4 375
128,Denmark,4 248
129,"Ireland, Republic of",4 187
130,Croatia,3 955
131,Botswana,3 882
132,Trinidad and Tobago,3 802
133,Jamaica,3 719
134,Bahrain,3 485
135,eSwatini/Swaziland,3 362
136,Latvia,3 124
137,Norway,3 032
138,Liberia,2 925
139,Finland,2 827
140,Mauritius,2 457
141,Fiji,2 379
142,North Macedonia,2 220
143,Lesotho,2 216
144,Armenia,2 113
145,Estonia,2 112
146,Mauritania,2 023
147,Oman,1 960
148,Guyana,1 889
149,Bosnia and Herzegovina: Federation,1 813
150,United Kingdom: Northern Ireland,1 701
151,Maldives,1 700
152,Kosovo/Kosova,1 642
153,Bahamas,1 617
154,Cape Verde (Cabo Verde),1 549
155,Macau (China),1 520
156,Slovenia,1 401
157,Congo (Republic of),1 388
158,Central African Republic,1 291
159,Reunion (France),1 179
160,Qatar,1 150
161,Bhutan,1 119
162,Belize,1 114
163,Suriname,1 000
164,Martinique (France),916
165,Brunei Darussalam,841
166,Montenegro,836
167,French Guiana/Guyane (France),831
168,Malta,821
169,Guadeloupe (France),803
170,Barbados,769
171,Timor-Leste (formerly East Timor),763
172,Cyprus (Republic of),716
173,Luxembourg,685
174,Djibouti,c. 662
175,New Caledonia (France),604
176,Guam (USA),600
177,Guinea Bissau,596
178,French Polynesia (France),591
179,Bosnia and Herzegovina: Republika Srpska,562
180,Gambia,543
181,Solomon Islands,500
181,Equatorial Guinea,500
183,St. Lucia,484
184,Mayotte (France),466
185,Curaçao (Netherlands),429
186,Comoros,387
187,St. Vincent and the Grenadines,385
188,Grenada,365
189,Virgin Islands (USA),359
190,Samoa,358
191,Seychelles,310
192,American Samoa (USA),301
193,Sao Tome e Principe,260
194,Antigua and Barbuda,238
195,Dominica,206
196,Cayman Islands (United Kingdom),205
197,Vanuatu,195
198,St. Kitts and Nevis,184
199,Tonga,176
200,Northern Mariana Islands (USA),175
201,Aruba (Netherlands),170
202,Iceland,150
203,Jersey (United Kingdom),146
204,Virgin Islands (United Kingdom),143
205,"Micronesia, Federated States of",132
206,Kiribati,129
207,Greenland (Denmark),126
208,Bermuda (United Kingdom),124
209,Isle of Man (United Kingdom),109
210,Gibraltar (United Kingdom),92
211,Guernsey (United Kingdom),81
212,Palau,77
212,Sint Maarten (Netherlands),77
214,Andorra,61
215,Anguilla (United Kingdom),55
216,Cook Islands (New Zealand),47
217,Marshall Islands,35
218,Nauru,14
219,Monaco,13
220,Liechtenstein,12
221,Tuvalu,11
222,San Marino,9
222,Faeroe Islands (Denmark),9
