Title,Total
China,1690000
United States of America,1675400
Brazil,835643
India,554034
Russian Federation,468237
Turkey,314502
Thailand,285572
Indonesia,275518
Mexico,229621
Iran,189000
Philippines,166912
South Africa,144938
Vietnam,125697
Egypt,119000
Argentina,114074
Ethiopia,110000
Myanmar (formerly Burma),100324
Colombia,97316
Algeria,94749
Peru,89948
Morocco,88941
Pakistan,85670
Bangladesh,83837
United Kingdom: England & Wales,81309
Rwanda,76099
Nigeria,75639
Iraq,73715
Poland,72302
France,72067
Uganda,70119
Malaysia,69507
Saudi Arabia,68056
Venezuela,67200
Cuba,57337
Germany,56069
Italy,55835
Taiwan,55463
Spain,55097
Republic of (South) Korea,53920
Kenya,52979
Ukraine,48038
Japan,45714
Chile,43772
Australia,42403
El Salvador,39538
Cambodia,39000
Kazakhstan,35228
Turkmenistan,35000
Tanzania,33570
Belarus,32556
Ecuador,32466
Canada,32261
Cameroon,32003
Afghanistan,28240
Madagascar,27611
Dominican Republic,26794
Nepal,25400
Guatemala,24595
Angola,24336
Tunisia,23484
Romania,23214
Zambia,23062
Cote d'Ivoire,23000
Uzbekistan,22867
Democratic Republic of Congo,22820
Sri Lanka,22000
Azerbaijan,21813
Panama,21113
Sudan,21000
Nicaragua,20918
Zimbabwe,20898
Bolivia,20864
Honduras,20768
Czech Republic,19140
Hungary,18800
Mozambique,18700
Jordan,17708
Paraguay,16267
Costa Rica,15516
Israel,14961
Malawi,14500
Ghana,14444
Uruguay,14347
Tajikistan,14000
Benin,13009
Burundi,12694
Senegal,12430
Libya,12300
Portugal,12269
Laos,11885
Netherlands,11623
Haiti,11253
Greece,11131
Syria,10599
Serbia,10436
Belgium,10379
Singapore,10262
Kyrgyzstan,10142
Slovakia,9984
United Arab Emirates,9826
Yemen,9719
Georgia,9645
Niger,9187
Namibia,8900
Puerto Rico (USA),8884
Chad,8700
Mali,8670
Austria,8456
Hong Kong (China),7867
New Zealand,7728
United Kingdom: Scotland,7408
Lebanon,7401
Burkina Faso,7401
Sweden,7317
South Sudan,7000
Moldova (Republic of),6461
Switzerland,6310
Bulgaria,6080
Mongolia,5832
Gabon,5226
Lithuania,5089
Papua New Guinea,5087
Albania,5054
Togo,4990
Sierra Leone,4430
Kuwait,4420
Guinea (Republic of),4375
Denmark,4248
"Ireland, Republic of",4197
Croatia,3955
Botswana,3882
Trinidad and Tobago,3802
Jamaica,3719
Bahrain,3485
eSwatini/Swaziland,3362
Latvia,3124
Norway,3119
Liberia,2925
Finland,2827
Mauritius,2509
Fiji,2379
North Macedonia,2220
Lesotho,2216
Armenia,2113
Estonia,2112
Mauritania,2023
Oman,1960
Guyana,1889
Bosnia and Herzegovina: Federation,1813
United Kingdom: Northern Ireland,1709
Maldives,1700
Kosovo/Kosova,1642
Bahamas,1617
Cape Verde (Cabo Verde),1549
Macau (China),1497
Slovenia,1397
Congo (Republic of),1388
Central African Republic,1291
Reunion (France),1179
Qatar,1150
Bhutan,1119
Belize,1114
Suriname,1000
Martinique (France),916
Brunei Darussalam,841
Montenegro,836
French Guiana/Guyane (France),831
Malta,821
Guadeloupe (France),803
Barbados,769
Timor-Leste (formerly East Timor),763
Cyprus (Republic of),716
Luxembourg,685
Djibouti,662
New Caledonia (France),604
Guam (USA),600
Guinea Bissau,596
French Polynesia (France),591
Bosnia and Herzegovina: Republika Srpska,562
Gambia,543
Solomon Islands,500
Equatorial Guinea,500
St. Lucia,484
Mayotte (France),466
Curaçao (Netherlands),429
Comoros,387
St. Vincent and the Grenadines,385
Grenada,365
Virgin Islands (USA),359
Samoa,358
Seychelles,320
American Samoa (USA),301
Sao Tome e Principe,260
Antigua and Barbuda,238
Dominica,206
Cayman Islands (United Kingdom),205
Vanuatu,195
St. Kitts and Nevis,184
Tonga,176
Northern Mariana Islands (USA),175
Aruba (Netherlands),170
Iceland,150
Jersey (United Kingdom),146
Virgin Islands (United Kingdom),143
"Micronesia, Federated States of",132
Greenland (Denmark),131
Kiribati,129
Bermuda (United Kingdom),124
Isle of Man (United Kingdom),109
Gibraltar (United Kingdom),92
Guernsey (United Kingdom),84
Palau,77
Sint Maarten (Netherlands),77
Andorra,61
Anguilla (United Kingdom),55
Cook Islands (New Zealand),47
Marshall Islands,35
Nauru,14
Monaco,13
Liechtenstein,12
Faeroe Islands (Denmark),11
Tuvalu,11
San Marino,9
